English Name (BirdLife > IOC > Clements>AviList),AviList v1 2025,RR,ISL,RLM,LAT,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,F,BM,WD,SH,SV,G,PL,R,D,A,RV,C,W,SE,O,O- DESC,Primary Habitat,HB,Primary Diet,IN-Wt,FR-Wt,NE-Wt,SE-Wt,VE-Wt,FI-Wt,SC-Wt,PL-Wt,MS-Wt,SUM-Wt,Desc,DB,Diet_Lit,ESI,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,Coop,Nest_Type,Nest_SBS,Brd1,Brd2,Clutch_Min,Clutch_Max,Incu_Sex,Incu1,Incu2,Fldg1,Fldg2,Para.1,Para.2,BrS1,BrS2,Prod1,Prod2,Flightlessness,Mig,Alt,Irreg,Disp,Sed,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Red-winged Blackbird,Agelaius phoeniceus,0,0,LN,2,34.5,63.6,55.4,72.1,NA,NA,56.4,NA,0,2500,2500,3000,NA,NA,NA,2,NA,4,NA,NA,NA,3,NA,NA,1,NA,NA,NA,Wetland,4,Seed,4,0,0,6,0,0,0,0,0,10,NA,2,1,1.0969100130080565,NA,NA,NA,NA,NA,NA,0,1,0,CP,"Z,S,T,G",1,2,2,4,F,11,13,NA,NA,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,1,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,Dunning,NA,NO,NA,NA,Wetland,3,3,Herbivore,Granivore,Generalist
Brown-headed Cowbird,Molothrus ater,0,0,LN,2,30.5,42.3,40.2,58,NA,NA,42.75,NA,0,2895,2895,NA,2,NA,3,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,Grassland,4,Seed,2.5,0,0,7.5,0,0,0,0,0,10,NA,2,1,1.0969100130080565,NA,NA,NA,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,4,5,NA,10,12,10,11,1,0,NA,NA,NA,NA,No,1,NA,NA,NA,NA,17.6,11.1,5.8,8.9,24.7,105,33.9,68.8,33,69.8,40.3,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Terrestrial
Common Grackle,Quiscalus quiscula,0,0,N,3,74,124,91,142,NA,NA,107.75,NA,0,1000,1000,NA,2,NA,1,6,NA,NA,NA,NA,NA,5,4,NA,3,NA,NA,NA,Woodland,6,Omnivore,3,3,0,4,T,T,T,0,T,10,NA,3,1,0.7447274948966939,1,1,0,0,0,0,NA,NA,0,CP,"T,S,C,R,G,B",1,2,1,7,F,11.5,15,10,17,0,1,NA,NA,NA,NA,No,2,NA,NA,NA,1,33,21.8,7.3,10.5,35.6,132.9,34.3,98.2,25.9,118.2,105.2,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Omnivore,Terrestrial
Ovenbird,Seiurus aurocapilla,0,0,LN,2,16.4,27.8,15.7,27.5,12,25,20.733333333333334,NA,0,1900,1900,2200,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,2,Invertebrate,8,0,0,2,0,0,0,0,0,10,NA,2,1,1.3979400086720377,0,0,0,0,1,0,NA,NA,0,DM,G,1,2,3,6,F,11,14,8,10,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,15.1,8.9,3.6,4.1,22.3,73.2,18.3,55.1,24.9,50.4,18.8,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Terrestrial
Black-and-white Warbler,Mniotilta varia,0,0,LN,2,11,NA,8.8,10,6.4,15.2,10.280000000000001,NA,0,2500,2500,3000,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,2,Invertebrate,10,T,0,0,0,0,0,0,0,10,NA,1,1,1.6989700043360187,0,1,0,0,0,0,NA,NA,0,"CP,CV","G,C",1,1,4,5,F,10,12,8,12,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,10.9,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Prothonotary Warbler,Protonotaria citrea,0,0,LN,2,12,20,12,17,NA,NA,15.25,NA,0,1300,1300,2100,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,Woodland,4,Invertebrate,10,T,T,T,0,0,0,0,0,10,NA,1,1,1.3979400086720377,0,1,0,0,0,0,1,1,0,CV,T,1,2,3,7,F,12,14,9,10,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,17.1,10.8,3.8,3.9,18.3,68.9,20.9,48.9,30,42.7,14.3,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Common Yellowthroat,Geothlypis trichas,0,0,LN,2,6,16,7.6,15.5,NA,NA,11.275,NA,0,4600,4600,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Wetland,2,Invertebrate,10,0,0,T,0,0,0,0,0,10,NA,1,1,1.6989700043360187,0,1,1,0,1,0,1,0,0,CP,"G,S",1,1,1,6,F,12,NA,NA,NA,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,1,12.7,7.9,3,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.5,Dunning,NA,NO,NA,NA,Wetland,1,3,Carnivore,Invertivore,Insessorial
Hooded Warbler,Setophaga citrina,0,0,LN,2,8.6,12.8,8.1,12.5,10,11,10.5,NA,0,1100,1100,1700,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Woodland,3,Invertebrate,10,0,0,0,0,0,0,0,0,10,NA,1,1,1.5228787452803376,0,1,0,0,1,0,1,1,3,CP,S,1,2,1,5,F,12,13,8,9,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,13.7,7.9,3.8,3.6,19.2,64.7,13.6,49.7,21.5,55.1,10.5,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
American Redstart,Setophaga ruticilla,0,0,LN,2,6.4,10,6.5,10.2,NA,NA,8.274999999999999,NA,0,3000,3000,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Woodland,3,Invertebrate,8,2,0,0,0,0,0,0,0,10,NA,2,1,1.2218487496163564,0,1,0,1,1,0,1,0,0,CP,T,1,1,1,5,F,10,13,7,13,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,12.3,6.8,4,3,17,62,15.6,48,24.6,52.6,8.2,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Northern Parula,Setophaga americana,0,0,LN,2,7.1,9.6,6.7,10.2,5.51,11.8,8.485,NA,0,2500,2500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,1,Invertebrate,6,1,1,1,0,0,0,1,0,10,NA,5,1,1.3010299956639813,0,1,0,0,0,0,1,1,0,PN,T,1,2,2,7,F,12,14,10,11,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,11.6,7.6,3.1,3.1,16.9,57.6,15.5,39.9,28.1,44.1,7.8,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
Black-throated Blue Warbler,Setophaga caerulescens,0,0,LN,2,8.1,12.1,8.4,12.4,NA,NA,10.25,NA,0,1600,1600,3000,2,NA,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Woodland,4,Invertebrate,7,1,T,1,0,0,1,0,0,10,NA,4,1,0.7958800173440752,0,1,0,1,1,0,1,1,0,CP,T,1,2,2,5,F,12,13,8,10,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,13,7.4,3.4,3.3,18.6,62.2,14.9,47,24.1,48.9,10.1,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Pine Warbler,Setophaga pinus,0,0,LN,2,NA,NA,NA,NA,9.4,15.1,12.25,NA,0,3050,3050,NA,1,NA,NA,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Forest,4,Invertebrate,8,1,0,1,0,0,0,0,0,10,NA,3,1,0.9208187539523752,0,1,1,1,1,0,1,0,0,CP,"T,G",1,NA,3,4,F,10,13,10,NA,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,1,13.4,8,3.1,3.8,18.6,71.8,20.6,51.2,28.6,54,11.8,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
Yellow-throated Warbler,Setophaga dominica,0,0,LN,2,8.8,10.5,8.8,10.8,9.4,11,9.883333333333335,NA,0,1800,1800,2000,1,NA,2,3,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,Forest,5,Invertebrate,10,0,0,0,0,0,0,0,0,10,NA,1,1,1.3010299956639813,0,1,0,0,1,0,1,0,0,CP,T,1,2,3,5,F,12,13,10,NA,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,1,14.9,9.8,3,3.4,16.8,67.7,18.8,49,27.7,50.7,9.7,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
Prairie Warbler,Setophaga discolor,0,0,LN,2,5.7,10.8,5.6,10.5,NA,NA,8.15,NA,0,1220,1220,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,4,5,NA,NA,NA,Woodland,5,Invertebrate,8,1,0,0,0,0,0,1,0,10,NA,3,1,0.8239087409443188,0,1,0,0,1,0,1,1,0,CP,T,1,2,2,5,F,11,14,8,14,0,1,NA,NA,0.78,3.36,No,1,NA,NA,NA,1,11.8,7.2,2.8,2.9,17.7,55.5,11.1,44.4,20,48.4,7.6,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial
Summer Tanager,Piranga rubra,0,0,LN,2,21.6,32,23.9,38.1,28.2,NA,28.759999999999998,NA,0,2500,2500,3100,1,NA,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,Forest,4,Invertebrate,8,2,0,0,0,0,0,0,0,10,NA,2,1,1.0969100130080565,0,1,0,1,1,0,1,0,0,CP,T,1,2,3,4,F,11,12,8,12,0,1,NA,NA,2,2.5,No,1,NA,NA,NA,NA,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Scarlet Tanager,Piranga olivacea,0,0,LN,2,32,38,23.5,33,19.8,38,30.71666666666667,NA,0,2600,2600,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,3,Invertebrate,8,2,0,0,0,0,0,T,0,10,NA,2,1,1.2218487496163564,0,1,1,1,1,0,1,0,0,CP,T,1,NA,3,5,F,13,14,9,12,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,18.8,11.5,7.2,8.2,19.4,92.6,29.5,65.9,30.9,63.8,28.2,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Northern Cardinal,Cardinalis cardinalis,0,0,LN,2,27.7,64.9,33.6,52.3,41.2,48.1,44.63333333333333,NA,0,2000,2000,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,2,Omnivore,2.9,2.4,0,4.5,T,0,0,0.2,0,10,NA,4,1,1.0969100130080565,0,1,1,1,0,0,1,1,3,CP,"T,S",1,2,1,5,F,11,13,7,13,1,1,NA,NA,NA,NA,No,NA,NA,NA,1,1,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Insessorial
Blue Grosbeak,Passerina caerulea,0,0,LN,2,23,32.5,22,40.5,27,NA,29,NA,0,2500,2500,NA,4,NA,1,2,6,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,Woodland,6,Omnivore,5,0,0,5,0,0,0,0,0,10,NA,2,1,0.9208187539523752,0,1,1,0,0,0,NA,NA,0,CP,"T,S",1,2,3,5,F,12,13,9,10,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,17,12.3,7.4,10.9,20.3,86.1,19.9,67.2,22.9,64.4,27.4,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Generalist
Indigo Bunting,Passerina cyanea,0,0,LN,2,11.3,19.8,11.2,20.3,NA,NA,15.649999999999999,NA,0,2300,2300,NA,NA,NA,4,1,6,NA,NA,NA,NA,2,3,NA,5,NA,NA,NA,Shrub,6,Omnivore,3,3,T,3,0,0,0,1,0,10,NA,4,1,0.619788758288394,0,1,0,1,1,0,1,1,0,CP,"T,S",1,NA,3,4,F,11,14,8,14,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.7,Dunning,NA,NO,NA,NA,Shrubland,2,3,Herbivore,Granivore,Terrestrial
